Back to Contents,Data 1: Total Products Exports by Destination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourcekey,MPEEXUS1,MTXEX_NUS-NAF_1,MTXEX_NUS-NAL_1,MTXEX_NUS-NAG_1,MTXEX_NUS-NAN_1,MTXEX_NUS-NAO_1,MTXEX_NUS-NAV_1,MTXEX_NUS-NAC_1,MTXEX_NUS-NAR_1,MTXEX_NUS-NAE_1,MTXEX_NUS-NAA_1,MTXEX_NUS-NAS_1,MTXEX_NUS-NAU_1,MTXEX_NUS-NAJ_1,MTXEX_NUS-NBG_1,MTXEX_NUS-NBF_1,MTXEX_NUS-NBA_1,MTXEX_NUS-NBB_1,MTXEX_NUS-NBO_1,MTXEX_NUS-NBE_1,MTXEX_NUS-NBH_1,MTXEX_NUS-NBN_1,MTXEX_NUS-NBL_1,MTXEX_NUS-NBK_1,MTXEX_NUS-NBC_1,MTXEX_NUS-NBR_1,MTXEX_NUS-NIO_1,MTXEX_NUS-NBX_1,MTXEX_NUS-NBU_1,MTXEX_NUS-NUV_1,MTXEX_NUS-NBM_1,MTXEX_NUS-NBD_1,MTXEX_NUS-NCB_1,MTXEX_NUS-NCM_1,MTXEX_NUS-NCA_1,MTXEX_NUS-NCV_1,MTXEX_NUS-NCJ_1,MTXEX_NUS-NCD_1,MTXEX_NUS-NCI_1,MTXEX_NUS-NCH_1,MTXEX_NUS-NCK_1,MTXEX_NUS-NCO_1,MTXEX_NUS-NCN_1,MTXEX_NUS-NCF_1,MTXEX_NUS-NCG_1,MTXEX_NUS-NCS_1,MTXEX_NUS-NHR_1,MTXEX_NUS-NCU_1,M_EPP0_EEX_NUS-NUC_MBBL,MTXEX_NUS-NCY_1,MTXEX_NUS-NCZ_1,MTXEX_NUS-NDA_1,MTXEX_NUS-NDJ_1,MTXEX_NUS-NDO_1,MTXEX_NUS-NDR_1,MTXEX_NUS-NEC_1,MTXEX_NUS-NEG_1,MTXEX_NUS-NES_1,MTXEX_NUS-NEK_1,MTXEX_NUS-NER_1,MTXEX_NUS-NEN_1,MTXEX_NUS-NWZ_1,MTXEX_NUS-NET_1,MTXEX_NUS-NFK_1,MTXEX_NUS-NFJ_1,MTXEX_NUS-NFI_1,MTXEX_NUS-NFR_1,MTXEX_NUS-NFG_1,MTXEX_NUS-NFP_1,MTXEX_NUS-NFS_1,MTXEX_NUS-NGB_1,MTXEX_NUS-NGA_1,MTXEX_NUS-NGG_1,MTXEX_NUS-NGM_1,MTXEX_NUS-NGH_1,MTXEX_NUS-NGI_1,MTXEX_NUS-NGR_1,MTXEX_NUS-NGL_1,MTXEX_NUS-NGJ_1,M_EPP0_EEX_NUS-NGP_1,MTXEX_NUS-NGT_1,MTXEX_NUS-NGV_1,MTXEX_NUS-NPU_1,MTXEX_NUS-NGY_1,MTXEX_NUS-NHA_1,MTXEX_NUS-NHO_1,MTXEX_NUS-NHK_1,MTXEX_NUS-NHU_1,MTXEX_NUS-NIC_1,MTXEX_NUS-NIN_1,MTXEX_NUS-NID_1,MTXEX_NUS-NIR_1,MTXEX_NUS-NIZ_1,MTXEX_NUS-NEI_1,MTXEX_NUS-NIS_1,MTXEX_NUS-NIT_1,MTXEX_NUS-NIV_1,MTXEX_NUS-NJM_1,MTXEX_NUS-NJA_1,MTXEX_NUS-NJO_1,MTXEX_NUS-NKZ_1,MTXEX_NUS-NKE_1,MTXEX_NUS-NKR_1,MTXEX_NUS-NKS_1,MTXEX_NUS-NKG_1,MTXEX_NUS-NKT_1,MTXEX_NUS-NKU_1,MTXEX_NUS-NLA_1,MTXEX_NUS-NLG_1,MTXEX_NUS-NLE_1,MTXEX_NUS-NLI_1,MTXEX_NUS-NLY_1,MTXEX_NUS-NLS_1,MTXEX_NUS-NLH_1,MTXEX_NUS-NLU_1,MTXEX_NUS-NMC_1,MTXEX_NUS-NMK_1,MTXEX_NUS-NMA_1,MTXEX_NUS-NMI_1,MTXEX_NUS-NMY_1,MTXEX_NUS-NMV_1,MTXEX_NUS-NML_1,MTXEX_NUS-NMT_1,MTXEX_NUS-NRM_1,MTXEX_NUS-NMB_1,MTXEX_NUS-NMR_1,MTXEX_NUS-NMP_1,MTXEX_NUS-NMX_1,MTXEX_NUS-NFM_1,MTXEX_NUS-NMQ_1,MTXEX_NUS-NMD_1,MTXEX_NUS-NMN_1,MTXEX_NUS-NMG_1,M_EPP0_EEX_NUS-NMJ_1,MTXEX_NUS-NMH_1,MTXEX_NUS-NMO_1,MTXEX_NUS-NMZ_1,MTXEX_NUS-NWA_1,MTXEX_NUS-NNP_1,MTXEX_NUS-NNL_1,MTXEX_NUS-NNA_1,MTXEX_NUS-NNC_1,MTXEX_NUS-NNZ_1,MTXEX_NUS-NNU_1,MTXEX_NUS-NNG_1,MTXEX_NUS-NNI_1,MTXEX_NUS-NNE_1,MTXEX_NUS-NNO_1,MTXEX_NUS-NMU_1,MTXEX_NUS-NPK_1,MTXEX_NUS-NPS_1,MTXEX_NUS-NPM_1,MTXEX_NUS-NPP_1,MTXEX_NUS-NPF_1,MTXEX_NUS-NPA_1,MTXEX_NUS-NPE_1,MTXEX_NUS-NRP_1,MTXEX_NUS-NPL_1,MTXEX_NUS-NPO_1,MTXEX_NUS-NPZ_1,MTXEX_NUS-NQA_1,MTXEX_NUS-NRO_1,MTXEX_NUS-NRS_1,MTXEX_NUS-NSC_1,MTXEX_NUS-NST_1,MTXEX_NUS-NSB_1,MTXEX_NUS-NVC_1,MTXEX_NUS-NWS_1,MTXEX_NUS-NSM_1,MTXEX_NUS-NTP_1,MTXEX_NUS-NSA_1,MTXEX_NUS-NSG_1,M_EPP0_EEX_NUS-NRI_MBBL,MTXEX_NUS-NYI_1,MTXEX_NUS-NSE_1,MTXEX_NUS-NSL_1,MTXEX_NUS-NSN_1,M_EPP0_EEX_NUS-NNN_MBBL,MTXEX_NUS-NSK_1,MTXEX_NUS-NSI_1,MTXEX_NUS-NBP_1,MTXEX_NUS-NSF_1,MTXEX_NUS-NSP_1,MTXEX_NUS-NPG_1,MTXEX_NUS-NCE_1,MTXEX_NUS-NNS_1,MTXEX_NUS-NSW_1,MTXEX_NUS-NSZ_1,MTXEX_NUS-NSY_1,MTXEX_NUS-NTW_1,MTXEX_NUS-NTZ_1,MTXEX_NUS-NTH_1,MTXEX_NUS-NTN_1,MTXEX_NUS-NTO_1,MTXEX_NUS-NTD_1,MTXEX_NUS-NTS_1,MTXEX_NUS-NTU_1,MTXEX_NUS-NTX_1,MTXEX_NUS-NTK_1,MTXEX_NUS-NUG_1,MTXEX_NUS-NUR_1,MTXEX_NUS-NTC_1,MTXEX_NUS-NUK_1,MTXEX_NUS-NUY_1,MTXEX_NUS-NUZ_1,MTXEX_NUS-NNH_1,MTXEX_NUS-NVE_1,MTXEX_NUS-NVM_1,MTXEX_NUS-NVI_1,MTXEX_NUS-NVQ_1,MTXEX_NUS-NYE_1,MTXEX_NUS-NWI_1,MTXEX_NUS-NYO_1
Date,U.S. Exports of Total Petroleum Products (Thousand Barrels),U.S. Exports to Afghanistan of Total Petroleum Products (Thousand Barrels),U.S. Exports to Albania of Total Petroleum Products (Thousand Barrels),U.S. Exports to Algeria of Total Petroleum Products (Thousand Barrels),U.S. Exports to Andorra of Total Petroleum Products (Thousand Barrels),U.S. Exports to Angola of Total Petroleum Products (Thousand Barrels),U.S. Exports to Anguilla of Total Petroleum Products (Thousand Barrels),U.S. Exports to Antigua and Barbuda of Total Petroleum Products (Thousand Barrels),U.S. Exports to Argentina of Total Petroleum Products (Thousand Barrels),U.S. Exports to Armenia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Aruba of Total Petroleum Products (Thousand Barrels),U.S. Exports to Australia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Austria of Total Petroleum Products (Thousand Barrels),U.S. Exports to Azerbaijan of Total Petroleum Products (Thousand Barrels),U.S. Exports to Bangladesh of Total Petroleum Products (Thousand Barrels),U.S. Exports to Bahama Islands of Total Petroleum Products (Thousand Barrels),U.S. Exports to Bahrain of Total Petroleum Products (Thousand Barrels),U.S. Exports to Barbados of Total Petroleum Products (Thousand Barrels),U.S. Exports to Belarus of Total Petroleum Products (Thousand Barrels),U.S. Exports to Belgium of Total Petroleum Products (Thousand Barrels),U.S. Exports to Belize of Total Petroleum Products (Thousand Barrels),U.S. Exports to Benin of Total Petroleum Products (Thousand Barrels),U.S. Exports to Bolivia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Bosnia and Herzegovina of Total Petroleum Products (Thousand Barrels),U.S. Exports to Botswana of Total Petroleum Products (Thousand Barrels),U.S. Exports to Brazil of Total Petroleum Products (Thousand Barrels),U.S. Exports to British Indian Ocean Territory of Total Petroleum Products (Thousand Barrels),U.S. Exports to Brunei of Total Petroleum Products (Thousand Barrels),U.S. Exports to Bulgaria of Total Petroleum Products (Thousand Barrels),U.S. Exports to Burkina Faso of Total Petroleum Products (Thousand Barrels),U.S. Exports to Burma of Total Petroleum Products (Thousand Barrels),U.S. Exports to Bermuda of Total Petroleum Products (Thousand Barrels),U.S. Exports to Cambodia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Cameroon of Total Petroleum Products (Thousand Barrels),U.S. Exports to Canada of Total Petroleum Products (Thousand Barrels),U.S. Exports to Cape Verde of Total Petroleum Products (Thousand Barrels),U.S. Exports to Cayman Islands of Total Petroleum Products (Thousand Barrels),U.S. Exports to Chad of Total Petroleum Products (Thousand Barrels),U.S. Exports to Chile of Total Petroleum Products (Thousand Barrels),U.S. Exports to China of Total Petroleum Products (Thousand Barrels),U.S. Exports to Cocos (Keeling) Islands of Total Petroleum Products (Thousand Barrels),U.S. Exports to Colombia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Comoros of Total Petroleum Products (Thousand Barrels),U.S. Exports to Congo (Brazzaville) of Total Petroleum Products (Thousand Barrels),U.S. Exports to Congo (Kinshasa) of Total Petroleum Products (Thousand Barrels),U.S. Exports to Costa Rica of Total Petroleum Products (Thousand Barrels),U.S. Exports to Croatia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Cuba of Total Petroleum Products (Thousand Barrels),U.S. Exports to Curacao of Total Petroleum Products (Thousand Barrels),U.S. Exports to Cyprus of Total Petroleum Products (Thousand Barrels),U.S. Exports to Czechia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Denmark of Total Petroleum Products (Thousand Barrels),U.S. Exports to Djibouti of Total Petroleum Products (Thousand Barrels),U.S. Exports to Dominica of Total Petroleum Products (Thousand Barrels),U.S. Exports to Dominican Republic of Total Petroleum Products (Thousand Barrels),U.S. Exports to Ecuador of Total Petroleum Products (Thousand Barrels),U.S. Exports to Egypt of Total Petroleum Products (Thousand Barrels),U.S. Exports to El Salvador of Total Petroleum Products (Thousand Barrels),U.S. Exports to Equatorial Guinea of Total Petroleum Products (Thousand Barrels),U.S. Exports to Eritrea of Total Petroleum Products (Thousand Barrels),U.S. Exports to Estonia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Eswatini of Total Petroleum Products (Thousand Barrels),U.S. Exports to Ethiopia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Falkland Islands of Total Petroleum Products (Thousand Barrels),U.S. Exports to Fiji of Total Petroleum Products (Thousand Barrels),U.S. Exports to Finland of Total Petroleum Products (Thousand Barrels),U.S. Exports to France of Total Petroleum Products (Thousand Barrels),U.S. Exports to French Guiana of Total Petroleum Products (Thousand Barrels),U.S. Exports to French Polynesia of Total Petroleum Products (Thousand Barrels),U.S. Exports to French Southern and Antartic Lands of Total Petroleum Products (Thousand Barrels),U.S. Exports to Gabon of Total Petroleum Products (Thousand Barrels),U.S. Exports to Gambia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Georgia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Germany of Total Petroleum Products (Thousand Barrels),U.S. Exports to Ghana of Total Petroleum Products (Thousand Barrels),U.S. Exports to Gibraltar of Total Petroleum Products (Thousand Barrels),U.S. Exports to Greece of Total Petroleum Products (Thousand Barrels),U.S. Exports to Greenland of Total Petroleum Products (Thousand Barrels),U.S. Exports to Grenada of Total Petroleum Products (Thousand Barrels),U.S. Exports to Guadeloupe of Total Petroleum Products (Thousand Barrels),U.S. Exports to Guatemala of Total Petroleum Products (Thousand Barrels),U.S. Exports to Guinea of Total Petroleum Products (Thousand Barrels),U.S. Exports to Guinea-Bissau of Total Petroleum Products (Thousand Barrels),U.S. Exports to Guyana of Total Petroleum Products (Thousand Barrels),U.S. Exports to Haiti of Total Petroleum Products (Thousand Barrels),U.S. Exports to Honduras of Total Petroleum Products (Thousand Barrels),U.S. Exports to Hong Kong of Total Petroleum Products (Thousand Barrels),U.S. Exports to Hungary of Total Petroleum Products (Thousand Barrels),U.S. Exports to Iceland of Total Petroleum Products (Thousand Barrels),U.S. Exports to India of Total Petroleum Products (Thousand Barrels),U.S. Exports to Indonesia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Iran of Total Petroleum Products (Thousand Barrels),U.S. Exports to Iraq of Total Petroleum Products (Thousand Barrels),U.S. Exports to Ireland of Total Petroleum Products (Thousand Barrels),U.S. Exports to Israel of Total Petroleum Products (Thousand Barrels),U.S. Exports to Italy of Total Petroleum Products (Thousand Barrels),U.S. Exports to Ivory Coast (Cote d'Ivore) of Total Petroleum Products (Thousand Barrels),U.S. Exports to Jamaica of Total Petroleum Products (Thousand Barrels),U.S. Exports to Japan of Total Petroleum Products (Thousand Barrels),U.S. Exports to Jordan of Total Petroleum Products (Thousand Barrels),U.S. Exports to Kazakhstan of Total Petroleum Products (Thousand Barrels),U.S. Exports to Kenya of Total Petroleum Products (Thousand Barrels),U.S. Exports to Kiribati of Total Petroleum Products (Thousand Barrels),U.S. Exports to Korea of Total Petroleum Products (Thousand Barrels),U.S. Exports to Kyrgyzstan of Total Petroleum Products (Thousand Barrels),"U.S. Exports to Kutubu, Christmas Island of Total Petroleum Products (Thousand Barrels)",U.S. Exports to Kuwait of Total Petroleum Products (Thousand Barrels),U.S. Exports to Laos of Total Petroleum Products (Thousand Barrels),U.S. Exports to Latvia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Lebanon of Total Petroleum Products (Thousand Barrels),U.S. Exports to Liberia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Libya of Total Petroleum Products (Thousand Barrels),U.S. Exports to Liechtenstein of Total Petroleum Products (Thousand Barrels),U.S. Exports to Lithuania of Total Petroleum Products (Thousand Barrels),U.S. Exports to Luxembourg of Total Petroleum Products (Thousand Barrels),U.S. Exports to Macau S.A.R. of Total Petroleum Products (Thousand Barrels),U.S. Exports to Macedonia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Madagascar of Total Petroleum Products (Thousand Barrels),U.S. Exports to Malawi of Total Petroleum Products (Thousand Barrels),U.S. Exports to Malaysia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Maldives of Total Petroleum Products (Thousand Barrels),U.S. Exports to Mali of Total Petroleum Products (Thousand Barrels),U.S. Exports to Malta of Total Petroleum Products (Thousand Barrels),U.S. Exports to Marshall Islands of Total Petroleum Products (Thousand Barrels),U.S. Exports to Martinique of Total Petroleum Products (Thousand Barrels),U.S. Exports to Mauritania of Total Petroleum Products (Thousand Barrels),U.S. Exports to Mauritius of Total Petroleum Products (Thousand Barrels),U.S. Exports to Mexico of Total Petroleum Products (Thousand Barrels),U.S. Exports to Federated States of Micronesia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Midway Islands of Total Petroleum Products (Thousand Barrels),U.S. Exports to Moldova of Total Petroleum Products (Thousand Barrels),U.S. Exports to Monaco of Total Petroleum Products (Thousand Barrels),U.S. Exports to Mongolia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Montenegro of Total Petroleum Products (Thousand Barrels),U.S. Exports to Montserrat of Total Petroleum Products (Thousand Barrels),U.S. Exports to Morocco of Total Petroleum Products (Thousand Barrels),U.S. Exports to Mozambique of Total Petroleum Products (Thousand Barrels),U.S. Exports to Namibia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Nepal of Total Petroleum Products (Thousand Barrels),U.S. Exports to Netherlands of Total Petroleum Products (Thousand Barrels),U.S. Exports to Netherlands Antilles of Total Petroleum Products (Thousand Barrels),U.S. Exports to New Caledonia of Total Petroleum Products (Thousand Barrels),U.S. Exports to New Zealand of Total Petroleum Products (Thousand Barrels),U.S. Exports to Nicaragua of Total Petroleum Products (Thousand Barrels),U.S. Exports to Niger of Total Petroleum Products (Thousand Barrels),U.S. Exports to Nigeria of Total Petroleum Products (Thousand Barrels),U.S. Exports to Niue of Total Petroleum Products (Thousand Barrels),U.S. Exports to Norway of Total Petroleum Products (Thousand Barrels),U.S. Exports to Oman of Total Petroleum Products (Thousand Barrels),U.S. Exports to Pakistan of Total Petroleum Products (Thousand Barrels),U.S. Exports to Palau of Total Petroleum Products (Thousand Barrels),U.S. Exports to Panama of Total Petroleum Products (Thousand Barrels),U.S. Exports to Papua New Guinea of Total Petroleum Products (Thousand Barrels),U.S. Exports to Paracel Islands of Total Petroleum Products (Thousand Barrels),U.S. Exports to Paraguay of Total Petroleum Products (Thousand Barrels),U.S. Exports to Peru of Total Petroleum Products (Thousand Barrels),U.S. Exports to Philippines of Total Petroleum Products (Thousand Barrels),U.S. Exports to Poland of Total Petroleum Products (Thousand Barrels),U.S. Exports to Portugal of Total Petroleum Products (Thousand Barrels),U.S. Exports to Puerto Rico of Total Petroleum Products (Thousand Barrels),U.S. Exports to Qatar of Total Petroleum Products (Thousand Barrels),U.S. Exports to Romania of Total Petroleum Products (Thousand Barrels),U.S. Exports to Russia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Saint Kitts and Nevis of Total Petroleum Products (Thousand Barrels),U.S. Exports to Saint Lucia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Saint Pierre and Miquelon of Total Petroleum Products (Thousand Barrels),U.S. Exports to Saint Vincent and the Grenadines of Total Petroleum Products (Thousand Barrels),U.S. Exports to Samoa of Total Petroleum Products (Thousand Barrels),U.S. Exports to San Marino of Total Petroleum Products (Thousand Barrels),U.S. Exports to Sao Tome and Principe of Total Petroleum Products (Thousand Barrels),U.S. Exports to Saudi Arabia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Senegal of Total Petroleum Products (Thousand Barrels),U.S. Exports to Serbia (Excludes Kosovo) of Total Petroleum Products (Thousand Barrels),U.S. Exports to Serbia and Montenegro of Total Petroleum Products (Thousand Barrels),U.S. Exports to Seychelles of Total Petroleum Products (Thousand Barrels),U.S. Exports to Sierra Leone of Total Petroleum Products (Thousand Barrels),U.S. Exports to Singapore of Total Petroleum Products (Thousand Barrels),U.S. Exports to Sint Maarten of Total Petroleum Products (Thousand Barrels),U.S. Exports to Slovakia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Slovenia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Solomon Islands of Total Petroleum Products (Thousand Barrels),U.S. Exports to South Africa of Total Petroleum Products (Thousand Barrels),U.S. Exports to Spain of Total Petroleum Products (Thousand Barrels),U.S. Exports to Spratly Islands of Total Petroleum Products (Thousand Barrels),U.S. Exports to Sri Lanka of Total Petroleum Products (Thousand Barrels),U.S. Exports to Suriname of Total Petroleum Products (Thousand Barrels),U.S. Exports to Sweden of Total Petroleum Products (Thousand Barrels),U.S. Exports to Switzerland of Total Petroleum Products (Thousand Barrels),U.S. Exports to Syria of Total Petroleum Products (Thousand Barrels),U.S. Exports to Taiwan of Total Petroleum Products (Thousand Barrels),U.S. Exports to Tanzania of Total Petroleum Products (Thousand Barrels),U.S. Exports to Thailand of Total Petroleum Products (Thousand Barrels),U.S. Exports to Tonga of Total Petroleum Products (Thousand Barrels),U.S. Exports to Togo of Total Petroleum Products (Thousand Barrels),U.S. Exports to Trinidad and Tobago of Total Petroleum Products (Thousand Barrels),U.S. Exports to Tunisia of Total Petroleum Products (Thousand Barrels),U.S. Exports to Turkiye of Total Petroleum Products (Thousand Barrels),U.S. Exports to Turkmenistan of Total Petroleum Products (Thousand Barrels),U.S. Exports to Turks and Caicos Islands of Total Petroleum Products (Thousand Barrels),U.S. Exports to Uganda of Total Petroleum Products (Thousand Barrels),U.S. Exports to Ukraine of Total Petroleum Products (Thousand Barrels),U.S. Exports to United Arab Emirates of Total Petroleum Products (Thousand Barrels),U.S. Exports to United Kingdom of Total Petroleum Products (Thousand Barrels),U.S. Exports to Uruguay of Total Petroleum Products (Thousand Barrels),U.S. Exports to Uzbekistan of Total Petroleum Products (Thousand Barrels),U.S. Exports to Vanuatu of Total Petroleum Products (Thousand Barrels),U.S. Exports to Venezuela of Total Petroleum Products (Thousand Barrels),U.S. Exports to Vietnam of Total Petroleum Products (Thousand Barrels),U.S. Exports to British Virgin Islands of Total Petroleum Products (Thousand Barrels),U.S. Exports to Virgin Islands of Total Petroleum Products (Thousand Barrels),U.S. Exports to Yemen of Total Petroleum Products (Thousand Barrels),U.S. Exports to Western Sahara of Total Petroleum Products (Thousand Barrels),U.S. Exports to Yugoslavia of Total Petroleum Products (Thousand Barrels)
1993-01-15,31193.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1993-02-15,24278.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1993-03-15,25761.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
